,thiolutin,benomyl(1),37C,16C(2),bleomycin,high pH(1),benomyl,rapamycin(1),23C(1),high pH,bleomycin(1),low pH,16C,4-nitroquinoline-N-oxide,20C,hydroxyurea,fluconazole,4NQO-0.6(1),rapamycin,DMSO(1),low glucose,4NQO-0.4(1),high salt,23C(2),4NQO-0.6(2),glycerol,cycloheximide,high pH(2),thiolutin(1),bleomycin(2),DMSO(2),23C,16C(1),benomyl(2),H2O,raffinose,DMSO,rapamycin(2)
A2,,7.3758613519,8.34434494169,,16.5189221331,16.3353850663,1.19097086963,7.07023950329,15.9515392272,7.02514973326,,9.37091674979,1.08008382737,,11.8446133383,5.74904121255,,,8.51088580645,8.504668852,6.63335980628,,7.08611815696,8.41844415217,,4.42693269721,15.0879562775,3.40525531154,16.3103598057,12.9847216531,6.46286105583,4.69423410343,,16.2179118811,4.78582296112,6.46347051859,5.52557682793,3.44073416452
A20,2.1582022272,,17.3385672144,4.14806151755,,4.58859218885,,,2.57140741603,1.59265543425,,1.28314757293,1.80552888717,8.97158974752,1.0247481644,6.94204635772,2.08087028036,2.70039225846,1.43498736834,2.46135106948,3.78755199962,2.14889095195,2.11183693147,0.485615798733,2.26266665105,1.40363516764,4.65245992718,3.4641592967,1.92618852936,,0.929773434929,2.72778031115,1.46370592685,,1.53089634852,2.12303513929,3.00955416722,
A21,3.04926401004,,5.49736777614,3.6597720255,,1.51083495556,,,1.20873513482,3.95344496019,,3.01232331839,,11.5489651535,0.558016079499,,1.43700276476,,1.77971859769,0.654917065829,7.76055514683,8.54417552825,4.21856587382,0.588528260866,,8.43778554588,5.57052334412,6.58961529638,1.21591324377,6.66777014872,0.559660067302,1.40367642998,4.03290479054,,1.35497658335,10.6330158001,0.998649075542,0.353587067782
A22,,,,11.1995222201,,1.08757079584,,0.167884332993,2.66977583027,4.2858341298,,2.23641979888,,,1.6000509117,,0.706802425224,,2.32753353395,1.34344160683,0.522869954306,,2.55491239492,1.92716453329,,3.58193405172,4.61675044719,,5.51691300664,6.29815734371,4.07510241917,2.45311079096,9.09911235559,,1.35170128953,3.08023790061,0.982019022833,
A23,4.46514247591,,3.88476514567,2.78863127117,,0.512461031698,,,1.26703511844,4.68641189271,,4.71789493729,1.57236271568,,4.39627930806,5.28194665489,1.63675425999,,,1.24034225939,1.72196169793,,3.00138770532,2.63441058981,,6.81330183041,3.29111505883,3.35894574709,2.15745098629,,0.312599077808,2.20566969928,1.75410397221,,1.12767359093,0.933066318026,4.05681100917,
A24,3.94033836124,,7.67975223673,,,4.69380237372,,,2.19340223253,2.28124075897,,,,5.43787558189,3.74689280411,,0.983545672602,,0.545105060603,1.5088363038,2.16897878896,2.28440920048,3.41921109331,2.12782724485,,2.53886443905,6.22674912158,1.89600459605,1.6034438852,5.1276526853,3.27080930412,1.15833819834,,1.18476054022,0.705731085794,0.668362173983,0.852193868618,0.0208487006336
A25,2.52119818669,5.73821477647,6.58654729723,,,,,1.14211573498,1.21093960866,,,,,12.4732534521,11.7799017328,1.25791414145,1.37221648883,,0.562938568849,1.50166475619,0.066783357634,2.12128300814,7.0770894247,1.18493471234,,3.26436141242,0.61295388065,6.56808112339,1.79320015629,2.99337779106,1.07241807359,1.94959712535,,16.208557428,2.44430089598,4.07396145063,1.66710043269,0.90068223002
A26,2.7802973209,,13.74061638,,,2.49904375582,,,1.21341759678,,,,,,4.76062905784,2.41309821832,4.44172129054,,,1.45232531502,3.83131830511,9.01519899843,2.09404669887,3.14042045398,,3.29359383831,1.81747066446,,1.35192231329,12.0335118643,1.27051046269,1.5787048344,,,5.57338806346,5.03616020886,2.80284828768,
A27,1.80011760858,,6.14066440247,,,11.2702067176,,,1.01802960962,,,,,,1.65487240725,1.40522397636,3.40183457314,,0.198456727134,5.35092543074,0.71063093927,,1.11398676721,1.62236930626,,1.05353769116,2.01504420298,,3.60422403073,6.14542024028,2.69109404703,1.7822072037,,,1.07116487028,7.19787091024,1.74018593948,
A28,3.06919393513,,,,,7.79248377978,,,2.94099327283,,,,,,3.47021518428,2.57106162533,,,,2.63504342106,2.65724941833,,2.24786463,1.78319467766,,0.779412856218,2.09584410891,,2.82754740164,5.27342503679,1.16080931091,1.49918198217,,,4.2861945039,3.07195817583,2.15432663585,
